"START" is used to indicate when the rows start. Other lines can be entered before then.
START
partid,Label,isbase,Length,Width,Height,Weight,Danger,Stability
0,wheel1,False,8,4,8,5,3,4
1,wheel2,False,8,4,8,5,3,4
2,wheel3,False,8,4,8,5,3,4
3,wheel4,False,8,4,8,5,3,4
4,wheel5,False,8,4,8,5,3,4
5,wheel6,False,8,4,8,5,3,4
6,wheel7,False,8,4,8,5,3,4
7,wheel8,False,8,4,8,5,3,4
8,vehiclebase,True,50,14,10,30,10,15
9,seat1,False,12,12,15,5,2,4
10,seat2,False,12,12,15,5,2,4
11,seat3,False,12,12,15,5,2,4
12,front,False,12,30,30,15,8,10
13,back,False,20,30,30,15,8,10
14,roof,False,50,30,12,20,12,4
